省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
山西省,太原市,迎泽区,美锦能源,山西美锦能源股份有限公司,煤炭开采,940154,125957,13.40%,美锦能源(000723),山西省太原市清徐县贯中大厦,山西省太原市劲松北路31号哈伯中心12层,www.mjenergy.com,1997-5-15
山西省,运城市,盐湖区,南风化工,南风化工集团股份有限公司,通用化工品,146129,-24476,-16.70%,南风化工(000737),山西省运城市红旗东街376号,山西省运城市解放路294号,www.nafine.com,1997-4-28
山西省,太原市,杏花岭区,山西证券,山西证券股份有限公司,投资服务,340054,57472,16.90%,山西证券(002500),山西省太原市府西街69号山西国际贸易中心东塔楼,山西省太原市府西街69号山西国际贸易中心东塔楼,www.i618.com.cn;www.sxzq.com,2010-11-15
山西省,太原市,杏花岭区,太钢不锈,山西太钢不锈钢股份有限公司,钢铁,5020927,208284,4.10%,太钢不锈(000825),山西省太原市尖草坪街2号,山西省太原市尖草坪街2号,www.tisco.com.cn,1998-10-21
山西省,太原市,小店区,ST生化,振兴生化股份有限公司,制药,51435,8835,17.20%,ST生化(000403),山西省太原市长治路227号高新国际大厦16层,山西省太原市长治路227号高新国际大厦16层,www.999yichun.cn,1996-6-28
山西省,太原市,小店区,漳泽电力,山西漳泽电力股份有限公司,电力（IV）,682804,-115349,-16.90%,漳泽电力(000767),山西省太原市晋阳街南一条10号,山西省太原市晋阳街南一条10号,www.zhangzepower.com,1997-6-9
山西省,太原市,小店区,蓝焰控股,山西蓝焰控股股份有限公司,石油勘探与开采,114731,37974,33.10%,蓝焰控股(000968),山西省太原市和平南路83号,山西省太原市小店区晋阳街东?p三巷3号,www.tymqh.com,2000-6-22
山西省,太原市,小店区,跨境通,跨境通宝电子商务股份有限公司,服装服饰零售,874050,65754,7.50%,跨境通(002640),山西省太原市建设南路632号,山西省太原市建设南路632号盛饰大厦,www.byky.com,2011-12-8
山西省,太原市,小店区,永泰能源,永泰能源股份有限公司,煤炭开采,1715481,76758,4.50%,永泰能源(600157),山西省晋中市灵石县翠峰镇新建街南110号,山西省太原市小店区亲贤北街9号双喜广场26-27F,www.wtecl.com、www.永泰能源.中国,1998-5-13
山西省,太原市,小店区,山煤国际,山煤国际能源集团股份有限公司,煤炭开采,3815695,127380,3.30%,山煤国际(600546),山西省太原市长风街115号,山西省太原市长风街115号,www.smgjcoal.com,2003-7-31
山西省,太原市,小店区,国新能源,山西省国新能源股份有限公司,燃气供应,681731,1102,0.20%,国新能源(600617),山西省太原市高新技术开发区中心街6号,山西省太原市高新技术开发区中心街6号,www.600617.com.cn,1992-10-13
山西省,太原市,小店区,通宝能源,山西通宝能源股份有限公司,电力（IV）,356948,4628,1.30%,通宝能源(600780),山西省太原市长治路272号,山西省太原市长治路272号,www.600780.com.cn,1996-12-5
山西省,太原市,小店区,国新能源,山西省国新能源股份有限公司,燃气供应,681731,1102,0.20%,国新B股(900913),山西省太原市高新技术开发区中心街6号,山西省太原市高新技术开发区中心街6号,www.600617.com.cn,1992-10-13
山西省,长治市,襄垣县,潞安环能,山西潞安环保能源开发股份有限公司,煤炭开采,1695647,250988,14.80%,潞安环能(601699),山西省长治市高新开发区城北东街65号,山西省长治市襄垣县侯堡镇,www.luanhn.com,2006-9-22
山西省,太原市,万柏林区,英洛华,英洛华科技股份有限公司,建材与构件,131017,9528,7.30%,英洛华(000795),山西省太原市万柏林区新晋祠路147号尚德峰国际14层,山西省太原市万柏林区新晋祠路147号尚德峰国际14层,www.twin-tower.com,1997-8-8
山西省,太原市,万柏林区,西山煤电,山西西山煤电股份有限公司,煤炭开采,2103325,210571,10.00%,西山煤电(000983),山西省太原市西矿街318号西山大厦,山西省太原市万柏林区西矿街318号,www.xsmd.com.cn,2000-7-26
山西省,太原市,万柏林区,太原重工,太原重工股份有限公司,工业机械,458335,2374,0.50%,太原重工(600169),山西省太原市万柏林区玉河街53号高新技术产业开发区,山西省太原市万柏林区玉河街53号,www.TYHI.COM.CN,1998-9-4
山西省,太原市,万柏林区,太化股份,太原化工股份有限公司,通用化工品,69728,-2648,-3.80%,太化股份(600281),山西省太原市学府西街高科技园区长治路工西三条2号,山西省太原市义井街20号,www.th600281.cn,2000-11-9
山西省,太原市,万柏林区,晋西车轴,晋西车轴股份有限公司,商用运载工具与车辆,105315,3903,3.70%,晋西车轴(600495),山西省太原市高新技术开发区长治路436号科祥大厦,山西省太原市和平北路北巷5号,www.jinxiaxle.com.cn,2004-5-26
山西省,太原市,万柏林区,狮头股份,太原狮头水泥股份有限公司,建材与构件,5889,652,11.10%,狮头股份(600539),山西省太原市万柏林区开城街一号,山西省太原市万柏林区开城街一号,www.600539.com.cn,2001-8-24
山西省,运城市,芮城县,亚宝药业,亚宝药业集团股份有限公司,制药,183908,16103,8.80%,亚宝药业(600351),山西省芮城县富民路43号,山西省风陵渡经济开发区工业大道1号,www.yabao.com.cn,2002-9-26
山西省,大同市,南郊区,仟源医药,山西仟源医药集团股份有限公司,制药,66906,2808,4.20%,仟源医药(300254),山西省大同市经济技术开发区湖滨大街53号,山西省大同市经济技术开发区湖滨大街53号,www.cy-pharm.com,2011-8-19
山西省,大同市,矿区,大同煤业,大同煤业股份有限公司,煤炭开采,702773,105762,15.00%,大同煤业(601001),山西省大同市矿区新平旺,山西省大同市矿区新平旺,www.dtmy.com.cn,2006-6-23
山西省,晋中市,介休市,安泰集团,山西安泰集团股份有限公司,煤炭开采,428172,2377,0.60%,安泰集团(600408),山西省介休市义安镇,山西省介休市义安镇,www.antaigroup.com,2003-2-12
山西省,太原市,尖草坪区,东杰智能,山西东杰智能物流装备股份有限公司,工业机械,43451,3332,7.70%,东杰智能(300486),山西省太原市新兰路51号,山西省太原市新兰路51号,www.omh.com.cn,2015-6-30
山西省,运城市,稷山县,永东股份,山西永东化工股份有限公司,通用化工品,133645,16568,12.40%,永东股份(002753),山西省运城市稷山县西社镇高渠村,山西省运城市稷山县西社镇高渠村,www.sxydhg.com,2015-5-19
山西省,临汾市,洪洞县,*ST三维,山西三维集团股份有限公司,通用化工品,171677,-37162,-21.60%,*ST三维(000755),山西省洪洞县赵城镇,山西省洪洞县赵城山西三维公司,www.sxsanwei.com,1997-6-27
山西省,临汾市,洪洞县,山西焦化,山西焦化股份有限公司,煤炭开采,430110,6616,1.50%,山西焦化(600740),山西省洪洞县广胜寺镇,山西省洪洞县广胜寺镇,www.sxjh.com.cn,1996-8-8
山西省,忻州市,河曲县,同德化工,山西同德化工股份有限公司,特种化工品,56907,8999,15.80%,同德化工(002360),山西省河曲县文笔镇焦尾城大茂口,山西省河曲县文笔镇焦尾城大茂口,www.tondchem.com,2010-3-3
山西省,太原市,高新区,阳煤化工,阳煤化工股份有限公司,通用化工品,1573996,12775,0.80%,阳煤化工(600691),山西省阳泉市北大西街5号,山西省太原市高新区科技街阳煤大厦,--,1993-11-19
山西省,吕梁市,汾阳市,山西汾酒,山西杏花村汾酒厂股份有限公司,蒸馏酒与葡萄酒,485593,125184,25.80%,山西汾酒(600809),山西省汾阳市杏花村,山西省汾阳市杏花村,www.fenjiu.com.cn,1994-1-6
山西省,阳泉市,城区,阳泉煤业,阳泉煤业(集团)股份有限公司,煤炭开采,2234936,179549,8.00%,阳泉煤业(600348),山西省阳泉市北大街5号,山西省阳泉市北大街5号,www.yqmy.cc,2003-8-21
山西省,晋城市,城区,兰花科创,山西兰花科技创业股份有限公司,煤炭开采,593006,93835,15.80%,兰花科创(600123),山西省晋城市凤台东街2288号,山西省晋城市凤台东街2288号兰花科技大厦,www.chinalanhua.com,1998-12-17
山西省,大同市,城区,当代东方,当代东方投资股份有限公司,广播与娱乐,56526,8075,14.30%,当代东方(000673),山西省大同市口泉,山西省大同市魏都大道370号益丰商务大厦A座18层A1A2,www.sz000673.com,1997-1-24
山西省,长治市,长治县,振东制药,山西振东制药股份有限公司,制药,236794,25631,10.80%,振东制药(300158),山西省长治县光明南路振东科技园,山西省长治县光明南路振东科技园,www.zdjt.com,2011-1-7
山西省,大同市,大同市,大秦铁路,大秦铁路股份有限公司,铁路运输,4174056,1432462,34.30%,大秦铁路(601006),山西省大同市站北街14号,山西省大同市站北街14号、山西省太原市建设北路202号,www.daqintielu.com,2006-8-1
