省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,绍兴市,诸暨市,海亮股份,浙江海亮股份有限公司,有色金属,2098774,60667,2.90%,海亮股份(002203),浙江省诸暨市店口镇工业区,浙江省诸暨市店口镇工业区,www.hailiang.com,2008-1-16
浙江省,绍兴市,诸暨市,大东南,浙江大东南股份有限公司,特种化工品,77525,-2406,-3.10%,大东南(002263),浙江省诸暨市城西工业区,浙江省诸暨市陶朱街道千禧路5号,www.chinaddn.com,2008-7-28
浙江省,绍兴市,诸暨市,步森股份,浙江步森服饰股份有限公司,服装与服饰,26086,-2185,-8.40%,步森股份(002569),浙江省诸暨市枫桥镇步森大道419号,浙江省诸暨市枫桥镇步森大道419号,www.busen.cn,2011-4-12
浙江省,绍兴市,诸暨市,万安科技,浙江万安科技股份有限公司,汽车零配件（IV）,165366,11582,7.00%,万安科技(002590),浙江省诸暨市店口镇工业区,浙江省诸暨市店口镇工业区中央路188号,www.vie.com.cn,2011-6-10
浙江省,绍兴市,诸暨市,露笑科技,露笑科技股份有限公司,有色金属,234058,30015,12.80%,露笑科技(002617),浙江省诸暨市店口镇露笑路38号,浙江省诸暨市店口镇露笑路38号,www.roshowtech.com,2011-9-20
浙江省,绍兴市,诸暨市,申科股份,申科滑动轴承股份有限公司,工业机械,10868,-113,-1.00%,申科股份(002633),浙江省诸暨市望云路132号,浙江省诸暨市陶朱街道望云路132号,www.shenke.com,2011-11-22
浙江省,绍兴市,诸暨市,浙江富润,浙江富润股份有限公司,服装与服饰,135694,20454,15.10%,浙江富润(600070),浙江省诸暨市暨阳街道苎萝东路60号,浙江省诸暨市陶朱南路12号,www.furun.net,1997-6-4
浙江省,绍兴市,诸暨市,海越股份,浙江海越股份有限公司,石油勘探与开采,749420,-8854,-1.20%,海越股份(600387),浙江省诸暨市西施大街59号,浙江省诸暨市西施大街59号,www.chinahaiyue.com,2004-2-18
浙江省,绍兴市,诸暨市,菲达环保,浙江菲达环保科技股份有限公司,工业机械,280216,5689,2.00%,菲达环保(600526),浙江省诸暨市望云路88号,浙江省诸暨市望云路88号,www.feida.biz,2002-7-22
浙江省,绍兴市,诸暨市,金海环境,浙江金海环境技术股份有限公司,电子电气组件与设备,40446,9034,22.30%,金海环境(603311),浙江省诸暨市应店街镇工业区,浙江省诸暨市应店街镇工业区,www.goldensea.cn,2015-5-18
浙江省,绍兴市,诸暨市,创新医疗,创新医疗管理股份有限公司,医疗保健服务,60637,15612,25.70%,创新医疗(002173),浙江省诸暨市山下湖镇郑家湖村,浙江省诸暨市山下湖镇珍珠工业园,"""""""www.shanxiahupearl.cn""","""www.shanxiahu.com""""""",2007-9-25
浙江省,绍兴市,越城区,浙江震元,浙江震元股份有限公司,药品零售,188323,6183,3.30%,浙江震元(000705),浙江省绍兴市解放北路289号,浙江省绍兴市解放北路289号,www.zjzy.com,1997-4-10
浙江省,绍兴市,越城区,向日葵,浙江向日葵光能科技股份有限公司,电子电气组件与设备,96633,1008,1.00%,向日葵(300111),浙江省绍兴袍江工业区三江路,浙江省绍兴袍江工业区三江路,www.sunowe.com.cn,2010-8-27
浙江省,绍兴市,越城区,古越龙山,浙江古越龙山绍兴酒股份有限公司,酿酒业,118674,13736,11.60%,古越龙山(600059),浙江省绍兴市北海桥,浙江省绍兴市北海桥,www.shaoxingwine.com.cn,1997-5-16
浙江省,绍兴市,越城区,喜临门,喜临门家具股份有限公司,家具,204742,21212,10.40%,喜临门(603008),浙江省绍兴市越城区灵芝镇二环北路1号,浙江省绍兴市越城区灵芝镇二环北路1号,www.chinabed.com,2012-7-17
浙江省,绍兴市,越城区,德创环保,浙江德创环保科技股份有限公司,废物处理与回收服务,56813,2435,4.30%,德创环保(603177),浙江省绍兴市袍江新区三江路以南,浙江省绍兴市袍江新区三江路以南,www.zj-tuna.com,2017-2-7
浙江省,绍兴市,越城区,盛洋科技,浙江盛洋科技股份有限公司,电子电气组件与设备,64438,2977,4.60%,盛洋科技(603703),浙江省绍兴市越城区人民东路1417号,浙江省绍兴市越城区人民东路1417号,www.shengyang.com,2015-4-23
浙江省,绍兴市,越城区,京华激光,浙江京华激光科技股份有限公司,造纸,40271,7333,18.20%,京华激光(603607),浙江省绍兴市城东经济技术开发区,浙江省绍兴市城东经济技术开发区,www.sx-jhjg.com,2017-10-25
浙江省,绍兴市,新昌县,新和成,浙江新和成股份有限公司,制药,409217,105422,25.80%,新和成(002001),浙江省新昌县羽林街道江北路4号,浙江省新昌县七星街道大道西路418号,www.cnhu.com,2004-6-25
浙江省,绍兴市,新昌县,京新药业,浙江京新药业股份有限公司,制药,154596,27964,18.10%,京新药业(002020),浙江省新昌县羽林街道新昌大道东路800号,浙江省新昌县羽林街道新昌大道东路800号,www.jingxinpharm.com,2004-7-15
浙江省,绍兴市,新昌县,三花智控,浙江三花智能控制股份有限公司,工业机械,718965,116483,16.20%,三花智控(002050),浙江省新昌县七星街道下礼泉,浙江省新昌县七星街道下礼泉,www.zjshc.com,2005-6-7
浙江省,绍兴市,新昌县,万丰奥威,浙江万丰奥威汽轮股份有限公司,汽车零配件（IV）,731581,86362,11.80%,万丰奥威(002085),浙江省新昌县城关镇新昌工业区（后溪）,浙江省新昌县城关镇新昌工业区（后溪）,www.wfaw.com.cn,2006-11-28
浙江省,绍兴市,新昌县,日发精机,浙江日发精密机械股份有限公司,工业机械,74962,5914,7.90%,日发精机(002520),浙江省新昌县七星街道日发数码科技园,浙江省新昌县七星街道日发数码科技园,www.rifapm.com,2010-12-10
浙江省,绍兴市,新昌县,美盛文化,美盛文化创意股份有限公司,广播与娱乐,68430,34171,49.90%,美盛文化(002699),浙江省绍兴市新昌省级高新技术园区内（南岩）,浙江省绍兴市新昌省级高新技术园区内（南岩）,www.chinarising.com.cn,2012-9-11
