省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
甘肃省,兰州市,榆中县,庄园牧场,兰州庄园牧场股份有限公司,食品生产（IV）,47716,5200,10.90%,庄园牧场(002910),甘肃省兰州市榆中县三角城乡三角城村,甘肃省兰州市榆中县三角城乡三角城村,www.lzzhuangyuan.com,2017/10/31
甘肃省,兰州市,榆中县,陇神戎发,甘肃陇神戎发药业股份有限公司,制药,19320,1492,7.70%,陇神戎发(300534),甘肃省兰州市榆中县定远镇国防路10号,甘肃省兰州市榆中县定远镇国防路10号,www.lsrfzy.com,2016/9/13
甘肃省,兰州市,永登县,三毛派神,兰州三毛实业股份有限公司,服装与服饰,21311,-2562,-12.00%,三毛派神(000779),甘肃省兰州市兰州新区嘉陵江街568号,甘肃省兰州市兰州新区嘉陵江街568号,www.chinapaishen.com,1997/5/28
甘肃省,兰州市,永登县,兰石重装,兰州兰石重型装备股份有限公司,工业机械,214124,1916,0.90%,兰石重装(603169),甘肃省兰州市兰州新区黄河大道西段528号,甘肃省兰州市兰州新区黄河大道西段528号,www.lshec.com,2014/10/9
甘肃省,酒泉市,肃州区,大禹节水,甘肃大禹节水集团股份有限公司,工业机械,74295,3455,4.70%,大禹节水(300021),甘肃省酒泉市解放路290号,甘肃省酒泉市解放路290号,www.gsdyjsgs.com,2009/10/30
甘肃省,酒泉市,肃州区,敦煌种业,甘肃省敦煌种业股份有限公司,农业与渔业,20228,5772,28.50%,敦煌种业(600354),甘肃省酒泉市肃州区肃州路28号,甘肃省酒泉市肃州区肃州路28号,www.dhseed.com,2004/1/15
甘肃省,天水市,秦州区,华天科技,天水华天科技股份有限公司,电子电气组件与设备,532376,49122,9.20%,华天科技(002185),甘肃省天水市秦州区双桥路14号,甘肃省天水市秦州区双桥路14号,www.tshtkj.com,2007/11/20
甘肃省,白银市,平川区,靖远煤电,甘肃靖远煤电股份有限公司,煤炭开采,298607,45179,15.10%,靖远煤电(000552),甘肃省白银市平川区大桥路1号,甘肃省白银市平川区王家山镇,--,1994/1/6
甘肃省,天水市,麦积区,众兴菌业,天水众兴菌业科技股份有限公司,食品生产（IV）,51400,9388,18.30%,众兴菌业(002772),甘肃省天水市麦积区国家农业科技园区,甘肃省天水市国家农业科技园区,www.tszxjy.cn,2015/6/26
甘肃省,武威市,凉州区,皇台酒业,甘肃皇台酒业股份有限公司,蒸馏酒与葡萄酒,4064,-4068,-100.10%,皇台酒业(000995),甘肃省武威市新建路55号,甘肃省武威市凉州区西关新建路55号,www.huangtaichina.com,2000/8/7
甘肃省,武威市,凉州区,荣华实业,甘肃荣华实业（集团）股份有限公司,金矿开采,13484,389,2.90%,荣华实业(600311),甘肃省武威市东关街荣华路1号,甘肃省武威市东关街荣华路1号,www.rong-hua.net,2001/6/26
甘肃省,嘉峪关市,嘉峪关市市辖区,中核钛白,中核华原钛白股份有限公司,通用化工品,250750,38144,15.20%,中核钛白(002145),甘肃省嘉峪关市东湖国际小区2号楼1单元401室,甘肃省嘉峪关市和诚西路359号二楼（嘉峪关市人才市场旁）,www.tioxhua.com,2007/8/3
甘肃省,嘉峪关市,嘉峪关市市辖区,酒钢宏兴,甘肃酒钢集团宏兴钢铁股份有限公司,钢铁,3046079,55250,1.80%,酒钢宏兴(600307),甘肃省嘉峪关市雄关东路12号,甘肃省嘉峪关市雄关东路12号,www.jisco.cn/structure/hongxinggufen.htm,2000/12/20
甘肃省,陇南市,徽县,金徽酒,金徽酒股份有限公司,酿酒业,94150,22947,24.40%,金徽酒(603919),甘肃省陇南市徽县伏家镇,甘肃省陇南市徽县伏家镇,www.jinhuijiu.com,2016/3/10
甘肃省,兰州市,红古区,方大炭素,方大炭素新材料科技股份有限公司,工业机械,522928,263755,50.40%,方大炭素(600516),甘肃省兰州市红古区海石湾镇炭素路277号,甘肃省兰州市红古区海石湾2号街坊354号,www.fdtsgs.com,2002/8/30
甘肃省,兰州市,城关区,甘肃电投,甘肃电投能源发展股份有限公司,特种化工品,140340,25934,18.50%,甘肃电投(000791),甘肃省兰州市城关区北滨河东路69号甘肃投资集团大厦,甘肃省兰州市城关区北滨河东路69号甘肃投资集团大厦24楼,www.yoxin.net,1997/10/14
甘肃省,兰州市,城关区,兰州黄河,兰州黄河企业股份有限公司,酿酒业,50620,3947,7.80%,兰州黄河(000929),甘肃省兰州市七里河区郑家庄108号,甘肃省兰州市庆阳路219号金运大厦22层,www.yellowriver.net.cn,1999/6/23
甘肃省,兰州市,城关区,佛慈制药,兰州佛慈制药股份有限公司,制药,32503,6145,18.90%,佛慈制药(002644),甘肃省兰州市城关区雁滩高新技术开发区,甘肃省兰州市城关区佛慈大街68号,www.fczy.com,2011/12/22
甘肃省,兰州市,城关区,海默科技,海默科技(集团)股份有限公司,采油设备与服务,24970,-8,0.00%,海默科技(300084),甘肃省兰州市城关区张苏滩593号,甘肃省兰州市城关区张苏滩593号,www.haimo.com.cn,2010/5/20
甘肃省,兰州市,城关区,亚盛集团,甘肃亚盛实业(集团)股份有限公司,农业与渔业,126102,5776,4.60%,亚盛集团(600108),甘肃省兰州市城关区雁兴路21号,甘肃省兰州市城关区雁兴路21号10-15楼,www.yasheng.com.cn,1997/8/18
甘肃省,兰州市,城关区,长城电工,兰州长城电工股份有限公司,电子电气组件与设备,141273,755,0.50%,长城电工(600192),甘肃省兰州市城关区农民巷215号,甘肃省兰州市城关区农民巷215号,www.chinagwe.com,1998/12/24
甘肃省,兰州市,城关区,莫高股份,甘肃莫高实业发展股份有限公司,食品零售与批发,15038,2676,17.80%,莫高股份(600543),甘肃省兰州市城关区高新技术产业开发区一号园区,甘肃省兰州市城关区东岗西路638号兰州财富中心23层,www.mogao.com,2004/3/24
甘肃省,兰州市,城关区,祁连山,甘肃祁连山水泥集团股份有限公司,建材与构件,462799,63883,13.80%,祁连山(600720),甘肃省兰州市城关区酒泉路,甘肃省兰州市城关区力行新村3号祁连山大厦,www.qlssn.com,1996/7/16
甘肃省,兰州市,城关区,兰州民百,兰州民百(集团)股份有限公司,百货零售,102604,15617,15.20%,兰州民百(600738),甘肃省兰州市城关区中山路120号,甘肃省兰州市城关区中山路120号8-10楼,www.lzminbai.com,1996/8/2
甘肃省,兰州市,城关区,国芳集团,甘肃国芳工贸(集团)股份有限公司,百货零售,212420,13523,6.40%,国芳集团(601086),甘肃省兰州市城关区广场南路4-6号,甘肃省兰州市城关区广场南路4-6号,www.guofanggroup.com,2017/9/29
甘肃省,兰州市,城关区,读者传媒,读者出版传媒股份有限公司,出版业,54420,4685,8.60%,读者传媒(603999),甘肃省兰州市城关区南滨河东路520号,甘肃省兰州市城关区南滨河东路520号,www.duzhe.com,2015/12/10
甘肃省,兰州市,城关区,亚太实业,海南亚太实业发展股份有限公司,不动产投资开发,4603,-740,-16.10%,亚太实业(000691),甘肃省兰州市兰州新区亚太工业科技总部基地A1号办公楼,甘肃省兰州市城关区张掖路87号中广商务大厦24楼,www.ytsy000691.com,1997/2/28
